geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8682621216,2.29353225481;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;126662.0;Arbre;Jardin;PARIS 16E ARRDT;;;00000012;149.0;13.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;71430;Platane
48.8241339366,2.33796569737;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;112897.0;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;370.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;108816;Platane
48.8408777406,2.39210515404;Calocedrus;decurrens;JARDIN DE LA GARE DE REUILLY;125236.0;Arbre;Jardin;PARIS 12E ARRDT;12-33;;00000005;205.0;20.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;185420;Libocèdre
48.8770427283,2.38050012851;Taxus;baccata;PARC DES BUTTES CHAUMONT;103916.0;Arbre;Jardin;PARIS 19E ARRDT;;;O1020001;140.0;13.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;188328;If
48.8672440883,2.31751956055;Melia;azedarach;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;307558.0;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;;000112001;168.0;14.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;209068;Lilas de Perse
48.8394051605,2.43337448245;Liriodendron;tulipifera;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002370.0;Arbre;Jardin;BOIS DE VINCENNES;12-02;;12-02;298.0;30.0;M;Inconnue;;1862-01-01T00:09:21+00:00;1;1439;Tulipier
48.8877361833,2.34350324718;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET;120299.0;Arbre;Jardin;PARIS 18E ARRDT;18-13;;00000028;349.0;27.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;3141;Platane
48.8648374901,2.36062553598;Corylus;colurna;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;116886.0;Arbre;Jardin;PARIS 3E ARRDT;03-05;;00000024;226.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;9033;Noisetier de Byzance
48.8800797215,2.38570950523;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;102027.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0380001;330.0;22.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;99005;Marronnier
48.8552202311,2.30078240398;Celtis;occidentalis;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;106662.0;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;P00907006;250.0;19.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;192663;Micocoulier
48.8606050739,2.25977704939;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;2002397.0;Arbre;Jardin;BOIS DE BOULOGNE;16-03;;000101003;354.0;32.0;M;Inconnue;;1862-01-01T00:09:21+00:00;1;201907;Cyprès Chauve
48.839886234,2.43388312679;Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002372.0;Arbre;Jardin;BOIS DE VINCENNES;12-22;;12-22;414.0;16.0;M;Inconnue;''Pendula'';1864-01-01T00:09:21+00:00;1;208001;Hêtre
48.8330296265,2.35069308175;Aesculus;hippocastanum;SQUARE RENE LE GALL;104841.0;Arbre;Jardin;PARIS 13E ARRDT;13-01;;00010270;360.0;15.0;M;Inconnue;;1894-01-01T00:09:21+00:00;1;35370;Marronnier
48.85437945,2.29862973163;Cedrus;libani;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;106913.0;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;P00709013;308.0;20.0;M;Inconnue;''Glauca'';1700-01-01T00:09:21+00:00;1;41949;Cèdre
48.857749011,2.33940394029;Salix;babylonica;QUAI DE L HORLOGE;230281.0;Arbre;Alignement;PARIS 1ER ARRDT;;;000402002;140.0;14.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;67049;Saule
48.8846213312,2.34392438346;Platanus;orientalis;SQUARE LOUISE MICHEL;120588.0;Arbre;Jardin;PARIS 18E ARRDT;18-01;;00000201;520.0;28.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;71874;Platane
48.865247802,2.31335175239;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;302598.0;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;;000109003;583.0;29.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;100256;Platane
48.8727963278,2.2875405986;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114779.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 à 29;;000105001 / 16-25;204.0;12.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;191592;Noisetier de Byzance
48.8433078707,2.44974260862;Quercus;robur;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;2002375.0;Arbre;Jardin;BOIS DE VINCENNES;12-26;;12-26;464.0;30.0;M;Inconnue;;1815-01-01T00:09:21+00:00;1;220024;Chêne
48.8462426895,2.25137540594;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;123330.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040005;207.0;16.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;123783;Erable
48.8639651868,2.25134968355;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002395.0;Arbre;Jardin;BOIS DE BOULOGNE;16-16;;000501001;330.0;27.0;A;Inconnue;;2000-01-01T01:00:00+00:00;1;137576;Pin
48.8448875264,2.35366916319;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;132669.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000075;90.0;3.0;M;Inconnue;''Tortuosa'';1905-01-01T00:09:21+00:00;1;186784;Hêtre
