geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8672280446,2.27026875561;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;138935.0;Arbre;Jardin;PARIS 16E ARRDT;16-24;;000101001;216.0;6.0;M;Inconnue;''Glauca Pendula'';1700-01-01T00:09:21+00:00;1;117542;Cèdre
48.8499468102,2.34421971028;Zelkova;carpinifolia;SQUARE PAUL PAINLEVE;132479.0;Arbre;Jardin;PARIS 5E ARRDT;05-04;;00000001;250.0;20.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;140825;Orme de Sibérie
48.8856757452,2.34472507365;Maclura;pomifera;SQUARE LOUISE MICHEL;120530.0;Arbre;Jardin;PARIS 18E ARRDT;18-11;;00000141;209.0;18.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;184932;Oranger des Osages
48.8633907267,2.24048112696;Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002348.0;Arbre;Jardin;BOIS DE BOULOGNE;16-09;;000301002;468.0;25.0;M;Inconnue;;1862-01-01T00:09:21+00:00;1;12623;Cèdre
48.8319997987,2.32583007025;Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;116216.0;Arbre;Jardin;PARIS 14E ARRDT;;;10030016;140.0;20.0;A;Inconnue;;1996-01-01T01:00:00+00:00;1;43784;Cèdre
48.8492902734,2.35621122947;Platanus;x hispanica;QUAI SAINT BERNARD;298210.0;Arbre;Alignement;PARIS 5E ARRDT;Jussieux;;000301059;375.0;25.0;M;Inconnue;;1900-01-01T00:09:21+00:00;1;50699;Platane
48.8625497049,2.23789840571;Zelkova;carpinifolia;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;2002344.0;Arbre;Jardin;BOIS DE BOULOGNE;16-06;;000601001;321.0;16.0;M;Inconnue;;1896-01-01T00:09:21+00:00;1;99392;Orme de Sibérie
48.8227147039,2.33868841423;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113547.0;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;610.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;101013;Platane
48.8618538525,2.37908776833;Corylus;colurna;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;124914.0;Arbre;Jardin;PARIS 11E ARRDT;11-01;;000201002;265.0;21.0;M;Inconnue;;1882-01-01T00:09:21+00:00;1;106960;Noisetier de Byzance
48.8860986781,2.3446801359;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL;120518.0;Arbre;Jardin;PARIS 18E ARRDT;18-12;;00000127;375.0;26.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;211011;Pterocarya
